iter	Passed	Remaining
399	30118	45177
400	30195	45105
401	30276	45037
402	30350	44960
403	30424	44882
404	30498	44806
405	30569	44724
406	30643	44647
407	30716	44569
408	30791	44493
409	30869	44421
410	30950	44355
411	31028	44282
412	31109	44215
413	31183	44139
414	31258	44063
415	31331	43985
416	31403	43905
417	31476	43826
418	31549	43746
419	31620	43666
420	31693	43587
421	31767	43510
422	31839	43431
423	31912	43353
424	31984	43272
425	32065	43205
426	32139	43128
427	32213	43052
428	32285	42972
429	32359	42895
430	32433	42817
431	32506	42739
432	32581	42664
433	32652	42584
434	32723	42503
435	32797	42426
436	32870	42347
437	32943	42270
438	33022	42199
439	33096	42123
440	33174	42051
441	33250	41976
442	33322	41898
443	33397	41822
444	33470	41744
445	33542	41665
446	33616	41587
447	33688	41508
448	33761	41431
449	33835	41354
450	33909	41278
451	33985	41204
452	34058	41125
453	34130	41047
454	34202	40968
455	34276	40891
456	34355	40820
457	34428	40742
458	34502	40665
459	34574	40587
460	34645	40506
461	34717	40429
462	34792	40353
463	34862	40271
464	34938	40197
465	35012	40121
466	35085	40043
467	35157	39964
468	35230	39887
469	35299	39805
470	35375	39731
471	35449	39655
472	35523	39579
473	35598	39504
474	35671	39426
475	35748	39353
476	35826	39281
477	35904	39209
478	35986	39141
479	36063	39068
480	36140	38995
481	36213	38918
482	36289	38844
483	36366	38770
484	36442	38696
485	36519	38623
486	36596	38550
487	36673	38477
488	36746	38399
489	36821	38323
490	36898	38250
491	36975	38177
492	37049	38101
493	37131	38033
494	37208	37960
495	37292	37894
496	37373	37824
497	37449	37750
498	37523	37674
499	37600	37600
500	37676	37526
501	37752	37451
502	37827	37376
503	37904	37302
504	37980	37228
505	38058	37155
506	38133	37080
507	38205	37002
508	38276	36923
509	38353	36849
510	38429	36774
511	38509	36704
512	38595	36639
513	38673	36567
514	38753	36496
515	38840	36431
516	38921	36361
517	39000	36289
518	39073	36212
519	39148	36137
520	39222	36060
521	39297	35984
522	39376	35913
523	39447	35834
524	39521	35757
525	39596	35682
526	39669	35604
527	39744	35529
528	39823	35457
529	39906	35389
530	39984	35315
531	40064	35244
532	40143	35172
533	40218	35097
534	40295	35023
535	40371	34948
536	40443	34870
537	40520	34796
538	40593	34719
539	40669	34644
540	40743	34568
541	40823	34496
542	40897	34420
543	40972	34344
544	41046	34267
545	41125	34196
546	41207	34126
547	41283	34051
548	41357	33975
549	41433	33899
550	41507	33824
551	41580	33746
552	41653	33669
553	41729	33594
554	41802	33517
555	41877	33441
556	41956	33369
557	42032	33294
558	42112	33223
559	42193	33151
560	42269	33077
561	42346	33003
562	42423	32929
563	42497	32852
564	42571	32776
565	42646	32700
566	42725	32627
567	42800	32552
568	42874	32476
569	42953	32403
570	43030	32329
571	43106	32254
572	43179	32177
573	43254	32101
574	43336	32031
575	43422	31963
576	43496	31887
577	43568	31809
578	43647	31736
579	43722	31661
580	43797	31585
581	43874	31511
582	43955	31439
583	44031	31365
584	44102	31286
585	44177	31210
586	44253	31135
587	44328	31060
588	44410	30989
589	44489	30916
590	44565	30841
591	44640	30765
592	44714	30689
593	44789	30613
594	44860	30535
595	44936	30460
596	45010	30384
597	45089	30310
598	45165	30235
599	45237	30158
600	45316	30085
601	45392	30010
602	45467	29934
603	45541	29858
604	45615	29781
605	45692	29707
606	45766	29631
607	45842	29556
608	45926	29486
